1.02268 2.91391 6.5389 3.88958 6.0509 1.04343 1.78991 0.0592059 4.68276 1.88818 
2.43721 6.73238 8.24915 7.48344 1.80181 6.69149 2.42592 3.14096 3.55052 5.34898 
1.71148 8.49391 6.0857 7.20939 9.58678 8.05078 3.70861 1.06449 0.294504 8.45088 
8.00409 8.60622 3.18247 4.60555 7.86859 6.14154 5.53453 1.91351 1.63671 4.10535 
4.8439 6.73971 9.73052 4.05072 6.45131 2.33802 1.27232 7.80725 7.49474 2.4192 
3.10617 8.49666 3.10404 9.5352 4.65041 8.08863 5.78051 0.47853 7.03604 1.19022 
3.89508 5.88336 9.95331 9.75097 0.248726 6.20624 4.65529 8.37306 6.62557 1.2891 
6.54866 4.91775 5.28001 5.67949 5.81225 6.08905 3.29844 6.89871 9.4821 2.68563 
0.764794 8.85189 3.43486 4.21033 8.6758 7.55699 7.71783 7.52037 7.53594 1.38859 
3.64818 9.20866 2.57973 3.02042 6.13361 6.40492 6.54622 5.25315 9.64141 5.67919

