 SILICON    14.0     2.9639742677       -2.9639742677       -2.9639742677
 SILICON    14.0    -2.9639742677        2.9639742677       -2.9639742677
 SILICON    14.0    -2.9639742677       -2.9639742677        2.9639742677
 SILICON    14.0    -2.9639742677        2.9639742677        2.9639742677
 SILICON    14.0     2.9639742677        2.9639742677       -2.9639742677
 SILICON    14.0    -2.9639742677       -2.9639742677       -2.9639742677
 SILICON    14.0     2.9639742677       -2.9639742677        2.9639742677
 SILICON    14.0     2.9639742677        2.9639742677        2.9639742677
 OXYGEN      8.0      .0000000000       -3.5306894327       -3.5306894327
 OXYGEN      8.0      .0000000000        3.5306894327       -3.5306894327
 OXYGEN      8.0      .0000000000       -3.5306894327        3.5306894327
 OXYGEN      8.0     3.5306894327         .0000000000        3.5306894327
 OXYGEN      8.0    -3.5306894327         .0000000000       -3.5306894327
 OXYGEN      8.0    -3.5306894327         .0000000000        3.5306894327
 OXYGEN      8.0     3.5306894327         .0000000000       -3.5306894327
 OXYGEN      8.0     3.5306894327        3.5306894327         .0000000000
 OXYGEN      8.0    -3.5306894327       -3.5306894327         .0000000000
 OXYGEN      8.0     3.5306894327       -3.5306894327         .0000000000
 OXYGEN      8.0    -3.5306894327        3.5306894327         .0000000000
 OXYGEN      8.0      .0000000000        3.5306894327        3.5306894327
 HYDROGEN    1.0     4.5627046338       -4.5627046338       -4.5627046338
 HYDROGEN    1.0    -4.5627046338        4.5627046338       -4.5627046338
 HYDROGEN    1.0    -4.5627046338       -4.5627046338        4.5627046338
 HYDROGEN    1.0    -4.5627046338        4.5627046338        4.5627046338
 HYDROGEN    1.0     4.5627046338        4.5627046338       -4.5627046338
 HYDROGEN    1.0    -4.5627046338       -4.5627046338       -4.5627046338
 HYDROGEN    1.0     4.5627046338       -4.5627046338        4.5627046338
 HYDROGEN    1.0     4.5627046338        4.5627046338        4.5627046338
 
