!BIOSYM archive 2
PBC=OFF
DMol output .car file; Hirshfeld partial charges
!date
C1       0.023686931    0.012495107   -0.007829269 dmol    1    C    0.0354    1
C2       2.843215911    0.013994655    0.001164353 dmol    1    C   -0.0723    2
C3       2.827832482    2.478733396    0.013675318 dmol    1    C   -0.0518    3
C4       0.051153183    2.485086901   -0.037928336 dmol    1    C   -0.0582    4
C5       0.725787474    1.250353341   -0.001539732 dmol    1    C   -0.0162    5
C6       0.739853552   -1.167748028   -0.020982015 dmol    1    C   -0.0806    6
C7       2.142159249   -1.166479489   -0.026115009 dmol    1    C   -0.0591    7
C8       2.150693385    1.241655457    0.012056303 dmol    1    C   -0.0055    8
C9       2.145387402    3.671603031   -0.007541485 dmol    1    C   -0.0574    9
C10      0.739696008    3.675868114   -0.039536914 dmol    1    C   -0.0587   10
N1      -1.363420688    0.016179865   -0.062974898 dmol    1    N   -0.1832   11
H1       3.940376021    0.028288071    0.006272796 dmol    1    H    0.0493   12
end
end
*/
